date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,exit_reason
2024-01-12,long,2024-01-12 10:05:00+05:30,21789.15,2024-01-12 15:25:00+05:30,21908.25,21715.15,,119.1,65,EOD
2024-02-26,long,2024-02-26 09:45:00+05:30,22199.9,2024-02-26 09:50:00+05:30,22141.0,22141.0,,-58.9,2,SL
2024-02-27,long,2024-02-27 09:45:00+05:30,22143.15,2024-02-27 15:25:00+05:30,22194.2,22085.65,,51.05,69,EOD
2024-02-28,long,2024-02-28 10:05:00+05:30,22226.3,2024-02-28 10:45:00+05:30,22184.35,22184.35,,-41.95,9,SL
2024-03-12,long,2024-03-12 09:45:00+05:30,22434.1,2024-03-12 10:45:00+05:30,22315.0,22315.0,,-119.1,13,SL
2024-03-22,long,2024-03-22 09:55:00+05:30,21977.8,2024-03-22 15:25:00+05:30,22080.8,21883.3,,103.0,67,EOD
2024-04-08,long,2024-04-08 10:10:00+05:30,22623.9,2024-04-08 15:25:00+05:30,22661.0,22550.35,,37.1,64,EOD
2024-04-09,long,2024-04-09 10:35:00+05:30,22765.3,2024-04-09 12:35:00+05:30,22675.25,22675.25,,-90.05,25,SL
2024-04-15,long,2024-04-15 10:05:00+05:30,22373.55,2024-04-15 15:00:00+05:30,22263.55,22263.55,,-110.0,60,SL
2024-04-29,long,2024-04-29 10:25:00+05:30,22532.5,2024-04-29 15:25:00+05:30,22633.15,22468.8,,100.65,61,EOD
2024-04-30,long,2024-04-30 09:45:00+05:30,22713.2,2024-04-30 15:00:00+05:30,22661.8,22661.8,,-51.4,64,SL
2024-06-18,long,2024-06-18 10:00:00+05:30,23573.85,2024-06-18 15:25:00+05:30,23562.3,23499.7,,-11.55,66,EOD
2024-06-19,long,2024-06-19 14:30:00+05:30,23630.85,2024-06-19 15:00:00+05:30,23532.1,23532.1,,-98.75,7,SL
2024-06-20,long,2024-06-20 13:20:00+05:30,23587.7,2024-06-20 15:25:00+05:30,23579.15,23461.75,,-8.55,26,EOD
2024-06-24,long,2024-06-24 09:55:00+05:30,23439.2,2024-06-24 15:25:00+05:30,23548.65,23350.0,,109.45,67,EOD
2024-06-25,long,2024-06-25 09:45:00+05:30,23605.75,2024-06-25 10:00:00+05:30,23571.05,23571.05,,-34.7,4,SL
