date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2023-05-29,short,2023-05-29 09:15:00+05:30,2023-05-29 15:20:00+05:30,18619.15,18595.55,18669.15,18555.53,13.6,eod,0.69
2023-06-02,short,2023-06-02 09:15:00+05:30,2023-06-02 09:55:00+05:30,18550.85,18518.47,18600.85,18518.47,22.38,tgt,0.35
2023-06-05,short,2023-06-05 09:15:00+05:30,2023-06-05 15:20:00+05:30,18612.0,18598.3,18662.0,18568.92,3.7,eod,0.47
2023-06-28,short,2023-06-28 09:15:00+05:30,2023-06-28 09:30:00+05:30,18908.15,18863.38,18958.15,18863.38,34.78,tgt,0.48
2023-06-30,short,2023-06-30 09:15:00+05:30,2023-06-30 12:30:00+05:30,19076.85,19126.85,19126.85,19034.38,-60.0,sl,0.45
2023-07-04,short,2023-07-04 09:15:00+05:30,2023-07-04 09:35:00+05:30,19406.6,19368.62,19456.6,19368.62,27.97,tgt,0.39
2023-07-10,short,2023-07-10 09:15:00+05:30,2023-07-10 09:20:00+05:30,19400.35,19362.5,19450.35,19362.5,27.85,tgt,0.39
2023-07-13,short,2023-07-13 09:15:00+05:30,2023-07-13 09:55:00+05:30,19495.2,19545.2,19545.2,19439.97,-60.0,sl,0.57
2023-07-27,short,2023-07-27 09:15:00+05:30,2023-07-27 09:55:00+05:30,19850.9,19812.0,19900.9,19812.0,28.9,tgt,0.39
2023-08-04,short,2023-08-04 09:15:00+05:30,2023-08-04 11:25:00+05:30,19462.8,19512.8,19512.8,19428.62,-60.0,sl,0.35
2023-08-24,short,2023-08-24 09:15:00+05:30,2023-08-24 11:05:00+05:30,19535.15,19488.35,19585.15,19488.35,36.8,tgt,0.48
2023-08-29,short,2023-08-29 09:15:00+05:30,2023-08-29 09:20:00+05:30,19374.85,19332.1,19424.85,19338.75,32.75,tgt,0.37
2023-08-30,short,2023-08-30 09:15:00+05:30,2023-08-30 14:35:00+05:30,19433.45,19393.2,19483.45,19393.2,30.25,tgt,0.42
2023-09-04,short,2023-09-04 09:15:00+05:30,2023-09-04 09:35:00+05:30,19525.05,19474.2,19575.05,19474.2,40.85,tgt,0.52
