date,side,entry_dt,entry,exit_dt,exit,sl,target,pnl,bars_held,entry_wait_min,exit_wait_min,mae,mfe,exit_reason
2023-05-22,long,2023-05-22 04:45:00,18296.45,2023-05-24 08:45:00,18270.4,,,-26.05,19,0,1080,-45.7,123.2,Target
2023-05-25,short,2023-05-25 03:45:00,18250.75,2023-05-26 03:45:00,18368.35,,,-117.6,8,0,420,-138.95,47.95,Target
2023-05-26,long,2023-05-26 05:45:00,18419.65,2023-05-31 03:45:00,18577.55,,,157.9,20,0,1140,0.0,242.1,Target
2023-06-01,short,2023-06-01 09:45:00,18484.05,2023-06-05 03:45:00,18612.0,,,-127.95,9,0,480,-151.0,5.55,Target
2023-06-05,long,2023-06-05 04:45:00,18635.05,2023-06-08 08:45:00,18647.25,,,12.2,26,0,1500,-103.1,142.75,Target
2023-06-09,short,2023-06-09 08:45:00,18570.6,2023-06-13 03:45:00,18631.8,,,-61.2,10,0,540,-132.8,13.35,Target
2023-06-13,long,2023-06-13 08:45:00,18718.4,2023-06-15 08:45:00,18703.85,,,-14.55,15,0,840,-49.2,75.5,Target
2023-06-16,long,2023-06-16 08:45:00,18793.9,2023-06-19 07:45:00,18747.35,,,-46.55,7,0,360,-74.6,85.1,Target
2023-06-20,short,2023-06-20 04:45:00,18669.2,2023-06-20 08:45:00,18796.5,,,-127.3,5,0,240,-156.05,0.0,Target
2023-06-22,long,2023-06-22 03:45:00,18875.65,2023-06-22 06:45:00,18794.9,,,-80.75,4,0,180,-96.25,10.4,Target
2023-06-23,short,2023-06-23 03:45:00,18661.15,2023-06-27 03:45:00,18748.55,,,-87.4,15,0,840,-101.8,13.5,Target
2023-06-27,long,2023-06-27 08:45:00,18779.65,2023-07-07 05:45:00,19373.0,,,593.35,47,0,2760,0.0,743.95,Target
2023-07-07,short,2023-07-07 08:45:00,19339.6,2023-07-11 03:45:00,19435.85,,,-96.25,10,0,540,-148.55,36.0,Target
2023-07-13,long,2023-07-13 03:45:00,19515.1,2023-07-21 05:45:00,19758.4,,,243.3,45,0,2640,-129.3,476.75,Target
2023-07-21,short,2023-07-21 08:45:00,19727.45,2023-07-26 03:45:00,19776.0,,,-48.55,17,0,960,-92.15,111.5,Target
2023-07-26,long,2023-07-26 04:45:00,19821.95,2023-07-27 06:45:00,19716.7,,,-105.25,10,0,540,-123.45,45.6,Target
2023-07-27,short,2023-07-27 08:45:00,19615.95,2023-07-31 05:45:00,19708.65,,,-92.7,12,0,660,-103.85,52.85,Target
2023-08-02,short,2023-08-02 04:45:00,19563.1,2023-08-04 06:45:00,19537.65,,,25.45,17,0,960,0.0,265.25,Target
2023-08-07,long,2023-08-07 04:45:00,19583.1,2023-08-09 03:45:00,19533.45,,,-49.65,14,0,780,-86.45,51.3,Target
2023-08-09,long,2023-08-09 08:45:00,19634.4,2023-08-11 03:45:00,19489.0,,,-145.4,10,0,540,-181.05,11.1,Target
2023-08-11,short,2023-08-11 04:45:00,19453.35,2023-08-16 08:45:00,19465.3,,,-11.95,19,0,1080,-39.3,195.15,Target
2023-08-18,short,2023-08-18 03:45:00,19301.0,2023-08-21 05:45:00,19379.85,,,-78.85,10,0,540,-87.4,47.4,Target
2023-08-22,long,2023-08-22 03:45:00,19425.95,2023-08-23 03:45:00,19376.45,,,-49.5,8,0,420,-59.1,24.25,Target
2023-08-23,long,2023-08-23 06:45:00,19450.2,2023-08-24 08:45:00,19406.35,,,-43.85,10,0,540,-65.8,134.25,Target
2023-08-25,short,2023-08-25 03:45:00,19297.4,2023-08-28 06:45:00,19339.55,,,-42.15,11,0,600,-48.95,66.75,Target
