date,side,entry_dt,entry,sl,target,exit_dt,exit,exit_reason,bars_held,pnl
2020-01-06,short,2020-01-06T15:25:00+05:30,11993.0,12179.1,,2020-01-09T15:25:00+05:30,12215.9,cover,3,-222.9
2020-01-27,short,2020-01-27T15:25:00+05:30,12119.0,12216.6,,2020-02-04T15:25:00+05:30,11979.7,cover,6,139.3
2020-02-17,short,2020-02-17T15:25:00+05:30,12045.8,12159.6,,2020-02-19T15:25:00+05:30,12125.9,cover,2,-80.1
2020-02-24,short,2020-02-24T15:25:00+05:30,11829.4,12012.5,,2020-03-20T15:25:00+05:30,8745.5,cover,18,3084.0
2020-05-12,short,2020-05-12T15:25:00+05:30,9196.5,9240.8,,2020-05-13T15:25:00+05:30,9383.5,cover,1,-187.0
2020-05-14,short,2020-05-14T15:25:00+05:30,9142.8,9281.1,,2020-05-20T15:25:00+05:30,9066.5,cover,4,76.2
2020-09-21,short,2020-09-21T15:25:00+05:30,11250.5,11535.2,,2020-09-25T15:25:00+05:30,11050.2,cover,4,200.3
2021-03-31,short,2021-03-31T15:25:00+05:30,14690.7,14813.8,,2021-04-01T15:25:00+05:30,14867.3,cover,1,-176.6
2021-04-05,short,2021-04-05T15:25:00+05:30,14637.8,14849.8,,2021-04-07T15:25:00+05:30,14819.0,cover,2,-181.2
2021-04-12,short,2021-04-12T15:25:00+05:30,14310.8,14652.5,,2021-04-15T15:25:00+05:30,14581.5,cover,2,-270.7
2021-05-04,short,2021-05-04T15:25:00+05:30,14496.5,14723.4,,2021-05-06T15:25:00+05:30,14724.8,cover,2,-228.3
2021-12-13,short,2021-12-13T15:25:00+05:30,17368.2,17639.5,,2021-12-22T15:25:00+05:30,16955.4,cover,7,412.8
2022-03-15,short,2022-03-15T15:25:00+05:30,16663.0,16927.8,,2022-03-16T15:25:00+05:30,16975.3,cover,1,-312.3
2022-06-10,short,2022-06-10T15:25:00+05:30,16201.8,16324.7,,2022-06-21T15:25:00+05:30,15638.8,cover,7,563.0
2023-01-20,short,2023-01-20T15:25:00+05:30,18027.7,18145.4,,2023-02-03T15:25:00+05:30,17854.1,cover,9,173.6
2023-02-10,short,2023-02-10T15:25:00+05:30,17856.5,17876.9,,2023-02-14T15:25:00+05:30,17929.8,cover,2,-73.3
2023-02-22,short,2023-02-22T15:25:00+05:30,17554.3,17772.5,,2023-03-01T15:25:00+05:30,17450.9,cover,5,103.4
2023-03-09,short,2023-03-09T15:25:00+05:30,17589.6,17772.3,,2023-03-17T15:25:00+05:30,17100.1,cover,6,489.5
2024-06-04,short,2024-06-04T15:25:00+05:30,21884.5,23179.5,,2024-06-06T15:25:00+05:30,22821.4,cover,2,-936.9
2024-11-28,short,2024-11-28T15:25:00+05:30,23914.2,24345.8,,2024-12-02T15:25:00+05:30,24276.1,cover,2,-361.9
2024-12-18,short,2024-12-18T15:25:00+05:30,24198.8,24394.4,,2025-01-01T15:25:00+05:30,23742.9,cover,9,455.9
2025-01-03,short,2025-01-03T15:25:00+05:30,24004.8,24196.4,,2025-01-16T15:25:00+05:30,23311.8,cover,9,692.9
2025-02-11,short,2025-02-11T15:25:00+05:30,23071.8,23390.1,,2025-03-05T15:25:00+05:30,22337.3,cover,15,734.5
2025-04-04,short,2025-04-04T15:25:00+05:30,22904.4,23214.7,,2025-04-08T15:25:00+05:30,22535.8,cover,2,368.6
2025-08-26,short,2025-08-26T15:25:00+05:30,24712.1,24919.7,,2025-09-01T15:25:00+05:30,24625.1,cover,3,87.0
2026-01-08,short,2026-01-08T15:25:00+05:30,25876.8,26133.2,,2026-01-28T15:25:00+05:30,25342.8,cover,12,534.1
2026-02-13,short,2026-02-13T15:25:00+05:30,25471.1,25630.3,,2026-02-16T15:25:00+05:30,25682.8,cover,1,-211.7
2026-02-19,short,2026-02-19T15:25:00+05:30,25454.3,25885.3,,2026-02-23T15:25:00+05:30,25713.0,cover,2,-258.7
2026-02-24,short,2026-02-24T15:25:00+05:30,25424.7,25641.8,,2026-03-05T15:25:00+05:30,24765.9,cover,6,658.8
2026-05-11,short,2026-05-11T15:25:00+05:30,23815.8,23997.4,,2026-05-14T15:25:00+05:30,23689.6,cover,3,126.2
2026-05-29,short,2026-05-29T15:25:00+05:30,23547.8,24002.8,,2026-06-12T15:25:00+05:30,23622.9,cover,10,-75.2
